,R_O,R_O,R_O,R_O,R_O,R_O,R_O,JW_O,JW_O,JW_O,JW_O,JW_O,JW_O,JW_O
,Precision_mean,Precision_std,Recall_mean,Recall_std,F1-score_mean,F1-score_std,Support,Precision_mean,Precision_std,Recall_mean,Recall_std,F1-score_mean,F1-score_std,Support
idx,,,,,,,,,,,,,,
fuzz_token_ratio_Dec_stump_medium_0,0.8000000000000002,1.3597399555105182e-16,1.0,0.0,0.888888888888889,0.0,2400,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,100
fuzz_token_ratio_Dec_stump_medium_1,0.0,0.0,0.0,0.0,0.0,0.0,600,0.0,0.0,0.0,0.0,0.0,0.0,100
fuzz_token_ratio_Dec_stump_small_0,0.8000000000000002,1.3597399555105182e-16,1.0,0.0,0.888888888888889,0.0,2400,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,100
fuzz_token_ratio_Dec_stump_small_1,0.0,0.0,0.0,0.0,0.0,0.0,600,0.0,0.0,0.0,0.0,0.0,0.0,100
distance_Dec_stump_large_0,0.8000000000000002,1.3597399555105182e-16,1.0,0.0,0.888888888888889,0.0,2400,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,100
distance_Dec_stump_large_1,0.0,0.0,0.0,0.0,0.0,0.0,600,0.0,0.0,0.0,0.0,0.0,0.0,100
distance_Dec_stump_medium_0,0.8000000000000002,1.3597399555105182e-16,1.0,0.0,0.888888888888889,0.0,2400,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,100
distance_Dec_stump_medium_1,0.0,0.0,0.0,0.0,0.0,0.0,600,0.0,0.0,0.0,0.0,0.0,0.0,100
distance_Dec_stump_small_0,0.8005266119528173,0.00046746506174181844,0.9809722222222222,0.016490387211050284,0.8815671895996141,0.006348690979935123,2400,0.5000536984830178,0.007772994530830567,0.9766666666666666,0.020816659994661344,0.6613935969868173,0.00913322459735005,100
distance_Dec_stump_small_1,0.15070242656449553,0.1305683567727413,0.022222222222222223,0.019245008972987525,0.0387317258401367,0.03354289732509426,600,0.2888888888888889,0.3421067626297923,0.02333333333333333,0.03214550253664318,0.04304645405562837,0.058838814035174575,100
